Price,Year,Mileage,City,State,Vin,Make,Model
17135,2016,15346,Buford, GA,19XFC2F58GE007831,Honda,Civic
16922,2015,22074,Scotia, NY,19XFB2F85FE232557,Honda,Civic
12250,2012,39912,Milwaukee, WI,19XFB2F89CE029148,Honda,Civic
15488,2015,15893,Marina Del Rey Toyota, CA,19XFB2F70FE286517,Honda,Civic
14990,2015,20800,Baltimore, MD,19XFB2F59FE203925,Honda,Civic
12999,2014,36183,Corona, CA,2HGFB2F89EH551707,Honda,Civic
13995,2014,35929,Roswell, GA,19XFB2F5XEE081896,Honda,Civic
14997,2014,19478,McMurray, PA,2HGFB2F5XEH559031,Honda,Civic
17941,2016,5613,Roswell, GA,19XFC2F55GE081658,Honda,Civic
14999,2015,27890,Arlington, TX,19XFB2F51FE044396,Honda,Civic
13295,2013,39440,West Caldwell, NJ,2HGFB2F84DH530665,Honda,Civic
13977,2014,36164,Roswell, GA,19XFB2F56EE035272,Honda,Civic
8999,2010,49975,Marietta, GA,19XFA1F5XAE034021,Honda,Civic
13900,2014,34726,Houston, TX,2HGFB2F57EH560394,Honda,Civic
12988,2014,35345,Hazle Township, PA,19XFB2F59EE256879,Honda,Civic
10000,2012,55137,Mt. Prospect, IL,19XFB2F51CE075479,Honda,Civic
13900,2014,34745,Houston, TX,2HGFB2F53EH552972,Honda,Civic
10162,2011,74067,Pueblo, CO,2HGFA1F86BH529236,Honda,Civic
14255,2014,35721,Tuscaloosa, AL,19XFB2F56EE044361,Honda,Civic
11995,2012,40968,Medford, MA,2HGFB2F9XCH549082,Honda,Civic
11897,2013,55784,Edison, NJ,19XFB2F84DE210577,Honda,Civic
10000,2011,56402,Muncie, IN,19XFA1F54BE037630,Honda,Civic
15935,2015,25679,Germantown, MD,19XFB2F85FE223633,Honda,Civic
13999,2015,32844,Schaumburg, IL,19XFB2F50FE044177,Honda,Civic
18594,2017,4537,Cookeville, TN,19XFC2F55HE004290,Honda,Civic
12997,2014,37261,Freehold, NJ,19XFB2F54EE080064,Honda,Civic
13495,2014,30336,La Crescenta, CA,19XFB2F5XEE266563,Honda,Civic
17274,2016,13883,Las Vegas, NV,19XFC2F51GE089594,Honda,Civic
19664,2017,7021,Greeley, CO,19XFC1F31HE009172,Honda,Civic
15000,2014,21646,Webster, TX,2HGFB2F53EH546220,Honda,Civic
13989,2014,32816,Victorville, CA,19XFB2F54EE266932,Honda,Civic
15997,2015,8844,Fresno, CA,2HGFB2F53FH540144,Honda,Civic
9981,2013,51129,St. Augustine, FL,2HGFG3B5XDH501027,Honda,Civic
6998,2012,91440,Marietta, GA,2HGFB2F50CH575946,Honda,Civic
14990,2015,21000,Manassas, VA,19XFB2F83FE211335,Honda,Civic
17890,2016,9586,East Wenatchee, WA,2HGFC2F52GH520532,Honda,Civic
12995,2014,41969,Bloomfield Hills, MI,19XFB2F57EE049567,Honda,Civic
11500,2013,68371,Manassas, VA,19XFB2F95DE056132,Honda,Civic
14000,2014,24373,Long Island City, NY,19XFB2F53EE218497,Honda,Civic
18406,2017,7646,Oakland, CA,19XFC2F52HE220338,Honda,Civic
15500,2015,27683,Round Rock, TX,19XFB2F56FE008106,Honda,Civic
15995,2016,33025,Hopkins, MN,19XFC2F5XGE034691,Honda,Civic
15891,2015,21668,Devon, PA,2HGFB2F98FH555483,Honda,Civic
14488,2014,39067,Hampton, VA,2HGFB2F6XEH531058,Honda,Civic
17997,2017,5205,Burlington, NJ,2HGFC2F52HH510519,Honda,Civic
9879,2013,67646,Hollywood, FL,2HGFB2F85DH550813,Honda,Civic
10995,2013,52061,Austin, TX,19XFB2F55DE205636,Honda,Civic
15227,2015,33866,Salisbury, MD,19XFB2F73FE244603,Honda,Civic
18684,2017,2809,Henderson, NV,19XFC2F59HE000954,Honda,Civic
12435,2012,41985,Tewksbury, MA,2HGFB2F93CH538439,Honda,Civic
8995,2012,59925,Miami, FL,2HGFB2F58CH581722,Honda,Civic
12548,2013,45760,Cincinnati, OH,19XFB2F50DE062952,Honda,Civic
16794,2016,18142,Fort Worth, TX,19XFC2F5XGE046310,Honda,Civic
13500,2014,39367,Omaha, NE,19XFB2F55EE057571,Honda,Civic
15342,2014,16424,Nanuet, NY,19XFB2F56EE238923,Honda,Civic
15141,2015,30611,East Stroudsburg, PA,19XFB2F84FE230606,Honda,Civic
10484,2012,53814,Lakeland, FL,19XFB2F95CE023839,Honda,Civic
16195,2016,15340,Springfield, VA,2HGFC2F52GH550937,Honda,Civic
11750,2012,44293,Baltimore, MD,19XFB2F54CE328438,Honda,Civic
9995,2012,55618,Thousand Oaks, CA,19XFB2F59CE336843,Honda,Civic
16497,2015,25301,Brooklyn Center, MN,19XFB2F96FE063514,Honda,Civic
